GEO_ID,STATE,COUNTY,TRACT,NAME,WATER_TRACT,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
1400000US12086008910,12,86,8910,"Census Tract 89.10, Miami-Dade County, Florida",,3338,698,395,20.91,11.83,1370,480,41.04,14.38,1270,447,38.05,13.39
1400000US12086008911,12,86,8911,"Census Tract 89.11, Miami-Dade County, Florida",,3274,1024,346,31.28,10.57,1623,412,49.57,12.58,627,377,19.15,11.51
1400000US12086009010,12,86,9010,"Census Tract 90.10, Miami-Dade County, Florida",,8412,3053,942,36.29,11.2,4509,1039,53.6,12.35,850,867,10.1,10.31
1400000US12086009014,12,86,9014,"Census Tract 90.14, Miami-Dade County, Florida",,4336,708,503,16.33,11.6,2997,579,69.12,13.35,631,505,14.55,11.65
1400000US12086009015,12,86,9015,"Census Tract 90.15, Miami-Dade County, Florida",,6882,980,800,14.24,11.62,4031,957,58.57,13.91,1871,872,27.19,12.67
1400000US12086009020,12,86,9020,"Census Tract 90.20, Miami-Dade County, Florida",,2966,357,364,12.04,12.27,1422,427,47.94,14.4,1187,383,40.02,12.91
1400000US12086009021,12,86,9021,"Census Tract 90.21, Miami-Dade County, Florida",,4464,927,555,20.77,12.43,2019,654,45.23,14.65,1518,585,34.01,13.1
1400000US12086009022,12,86,9022,"Census Tract 90.22, Miami-Dade County, Florida",,2267,252,240,11.12,10.59,1431,289,63.12,12.75,584,265,25.76,11.69
1400000US12086009024,12,86,9024,"Census Tract 90.24, Miami-Dade County, Florida",,5959,944,740,15.84,12.42,3675,829,61.67,13.91,1340,701,22.49,11.76
1400000US12086009026,12,86,9026,"Census Tract 90.26, Miami-Dade County, Florida",,2357,535,286,22.7,12.13,1288,338,54.65,14.34,534,306,22.66,12.98
1400000US12086009027,12,86,9027,"Census Tract 90.27, Miami-Dade County, Florida",,4406,670,520,15.21,11.8,2297,599,52.13,13.6,1439,525,32.66,11.92
1400000US12086009028,12,86,9028,"Census Tract 90.28, Miami-Dade County, Florida",,5825,1014,669,17.41,11.48,3494,784,59.98,13.46,1317,701,22.61,12.03
